
=== Lancement : 2026-04-01 11:52:05.739553 ===
id f z x
0 -4989.102817 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0011001110011100000110111111101101110000001001110010001011001001001100101000001001010011000100001100
1 -4834.351531 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0010001110010001010010010111111011000101100100100000100011011101101100111010010010111100100111111010
2 -4566.458705 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0001111101111100010000011000100000011000101100100011010011000000000101000100010011001001100110001011
3 -4975.378065 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1011010011011101111011101011100100110001100100100010011101101001000010010100111000010111010001011011
4 -5133.966110 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1110110001010000001111000001000101111100101110101001000010110111111101110001000011110001101001101010
5 -4627.787027 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1010011101100001101101111001111011000111001101000000011001010000111010100101000111000100110101110111
6 -4328.196883 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0100011101011000100110100111111101001011110100011110101010110110010001011111010000111001110001011000
7 -4684.943946 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0010110100101010000000111100000011001010010011111011011000000100010000011110100101011101000110111101
8 -5542.981712 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1000111101011010110111111111111001001111001011001011011111000100000011011010011100000011100100011100
9 -4255.446655 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1011010001110101010001011011111010011100010001010010100010000110110001100111000110101000011110101001
10 -4875.104013 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0011101110001110111100110010011100001101010000011011110111110011011010110110101000010000000001000110
11 -4940.994929 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1101001001001000001001111110111000110000001000101110011100101100011001111110010110101110010111001010
12 -4350.014858 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1100010101001111101000011000001111110101000111100000110110100100101001000001011010010011101000001000
13 -4659.364339 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1101010101000001100011010101001010010000001010100101001110000100100011010000000001010110001001110011
14 -4513.431026 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1000000001100010110001101001111110010111111110101000001001001001001100110111110000101000111111111000
15 -4426.631290 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0111110000011101001001101110100100010110011101111111111000111001011110001100111001011111000010110100
